revenue_id,deal_id,company_id,revenue_date,amount,revenue_type
REV_00034,DEAL_0063,COMP_0129,2025-01-28,7122.66,Recurring
REV_00035,DEAL_0063,COMP_0129,2025-02-27,7122.66,Recurring
REV_00036,DEAL_0077,COMP_0081,2024-08-31,66361.44,Recurring
REV_00037,DEAL_0077,COMP_0081,2024-09-30,66361.44,Recurring
REV_00038,DEAL_0077,COMP_0081,2024-10-30,66361.44,Recurring
REV_00039,DEAL_0077,COMP_0081,2024-11-29,66361.44,One-time
REV_00040,DEAL_0077,COMP_0081,2024-12-29,66361.44,One-time
REV_00041,DEAL_0077,COMP_0081,2025-01-28,66361.44,One-time
REV_00042,DEAL_0077,COMP_0081,2025-02-27,66361.44,Recurring
REV_00043,DEAL_0077,COMP_0081,2025-03-29,66361.44,One-time
REV_00044,DEAL_0077,COMP_0081,2025-04-28,66361.44,Recurring
REV_00045,DEAL_0079,COMP_0221,2024-10-29,20577.19,One-time
REV_00046,DEAL_0095,COMP_0179,2026-08-01,48550.38,Recurring
REV_00047,DEAL_0101,COMP_0263,2025-02-22,26822.66,One-time
REV_00048,DEAL_0101,COMP_0263,2025-03-24,26822.66,One-time
REV_00049,DEAL_0101,COMP_0263,2025-04-23,26822.66,Recurring
REV_00050,DEAL_0101,COMP_0263,2025-05-23,26822.66,Recurring
REV_00051,DEAL_0101,COMP_0263,2025-06-22,26822.66,Recurring
REV_00052,DEAL_0101,COMP_0263,2025-07-22,26822.66,Recurring
REV_00053,DEAL_0101,COMP_0263,2025-08-21,26822.66,Recurring
REV_00054,DEAL_0101,COMP_0263,2025-09-20,26822.66,One-time
REV_00055,DEAL_0101,COMP_0263,2025-10-20,26822.66,Recurring
REV_00056,DEAL_0108,COMP_0116,2024-10-05,33266.59,One-time
REV_00057,DEAL_0108,COMP_0116,2024-11-04,33266.59,Recurring
REV_00058,DEAL_0108,COMP_0116,2024-12-04,33266.59,Recurring
REV_00059,DEAL_0108,COMP_0116,2025-01-03,33266.59,One-time
REV_00060,DEAL_0108,COMP_0116,2025-02-02,33266.59,Recurring
REV_00061,DEAL_0108,COMP_0116,2025-03-04,33266.59,One-time
REV_00062,DEAL_0108,COMP_0116,2025-04-03,33266.59,Recurring
REV_00063,DEAL_0113,COMP_0094,2024-08-02,101465.35,One-time
REV_00064,DEAL_0114,COMP_0155,2026-01-15,17770.72,One-time
REV_00065,DEAL_0114,COMP_0155,2026-02-14,17770.72,One-time
REV_00066,DEAL_0114,COMP_0155,2026-03-16,17770.72,Recurring
REV_00067,DEAL_0114,COMP_0155,2026-04-15,17770.72,Recurring
REV_00068,DEAL_0114,COMP_0155,2026-05-15,17770.72,Recurring
REV_00069,DEAL_0114,COMP_0155,2026-06-14,17770.72,One-time
REV_00070,DEAL_0114,COMP_0155,2026-07-14,17770.72,Recurring
REV_00071,DEAL_0114,COMP_0155,2026-08-13,17770.72,Recurring
REV_00072,DEAL_0116,COMP_0140,2025-02-27,25798.15,Recurring
REV_00073,DEAL_0116,COMP_0140,2025-03-29,25798.15,Recurring
REV_00074,DEAL_0116,COMP_0140,2025-04-28,25798.15,One-time
REV_00075,DEAL_0116,COMP_0140,2025-05-28,25798.15,Recurring
REV_00076,DEAL_0116,COMP_0140,2025-06-27,25798.15,One-time
REV_00077,DEAL_0116,COMP_0140,2025-07-27,25798.15,Recurring
REV_00078,DEAL_0117,COMP_0108,2025-12-15,50716.94,Recurring
REV_00079,DEAL_0117,COMP_0108,2026-01-14,50716.94,One-time
REV_00080,DEAL_0117,COMP_0108,2026-02-13,50716.94,Recurring
REV_00081,DEAL_0117,COMP_0108,2026-03-15,50716.94,Recurring
REV_00082,DEAL_0124,COMP_0051,2025-06-08,321644.53,Recurring
REV_00083,DEAL_0124,COMP_0051,2025-07-08,321644.53,Recurring
REV_00084,DEAL_0129,COMP_0204,2026-02-07,14561.74,One-time
REV_00085,DEAL_0129,COMP_0204,2026-03-09,14561.74,Recurring
REV_00086,DEAL_0129,COMP_0204,2026-04-08,14561.74,One-time
REV_00087,DEAL_0129,COMP_0204,2026-05-08,14561.74,Recurring
REV_00088,DEAL_0129,COMP_0204,2026-06-07,14561.74,One-time
REV_00089,DEAL_0129,COMP_0204,2026-07-07,14561.74,One-time
REV_00090,DEAL_0129,COMP_0204,2026-08-06,14561.74,Recurring
REV_00091,DEAL_0129,COMP_0204,2026-09-05,14561.74,Recurring
REV_00092,DEAL_0129,COMP_0204,2026-10-05,14561.74,Recurring
REV_00093,DEAL_0133,COMP_0116,2025-02-08,95953.3,One-time
REV_00094,DEAL_0134,COMP_0162,2026-08-05,2866.55,One-time
REV_00095,DEAL_0134,COMP_0162,2026-09-04,2866.55,One-time
REV_00096,DEAL_0134,COMP_0162,2026-10-04,2866.55,Recurring
REV_00097,DEAL_0134,COMP_0162,2026-11-03,2866.55,One-time
REV_00098,DEAL_0134,COMP_0162,2026-12-03,2866.55,Recurring
REV_00099,DEAL_0134,COMP_0162,2027-01-02,2866.55,Recurring
REV_00100,DEAL_0139,COMP_0114,2024-11-28,2474.79,Recurring
REV_00101,DEAL_0139,COMP_0114,2024-12-28,2474.79,One-time
REV_00102,DEAL_0139,COMP_0114,2025-01-27,2474.79,Recurring
REV_00103,DEAL_0139,COMP_0114,2025-02-26,2474.79,One-time
REV_00104,DEAL_0139,COMP_0114,2025-03-28,2474.79,One-time
REV_00105,DEAL_0139,COMP_0114,2025-04-27,2474.79,One-time
REV_00106,DEAL_0139,COMP_0114,2025-05-27,2474.79,Recurring
REV_00107,DEAL_0139,COMP_0114,2025-06-26,2474.79,One-time
REV_00108,DEAL_0139,COMP_0114,2025-07-26,2474.79,Recurring
REV_00109,DEAL_0156,COMP_0037,2026-05-24,11946.41,Recurring
REV_00110,DEAL_0156,COMP_0037,2026-06-23,11946.41,One-time
REV_00111,DEAL_0156,COMP_0037,2026-07-23,11946.41,One-time
REV_00112,DEAL_0178,COMP_0275,2026-01-06,23957.96,Recurring
REV_00113,DEAL_0178,COMP_0275,2026-02-05,23957.96,One-time
REV_00114,DEAL_0178,COMP_0275,2026-03-07,23957.96,Recurring
REV_00115,DEAL_0201,COMP_0086,2024-11-01,15931.84,One-time
REV_00116,DEAL_0201,COMP_0086,2024-12-01,15931.84,Recurring
REV_00117,DEAL_0203,COMP_0069,2024-12-12,13872.74,One-time
REV_00118,DEAL_0203,COMP_0069,2025-01-11,13872.74,Recurring
REV_00119,DEAL_0203,COMP_0069,2025-02-10,13872.74,Recurring
REV_00120,DEAL_0227,COMP_0039,2025-05-25,15645.62,One-time
REV_00121,DEAL_0227,COMP_0039,2025-06-24,15645.62,Recurring
REV_00122,DEAL_0227,COMP_0039,2025-07-24,15645.62,Recurring
REV_00123,DEAL_0227,COMP_0039,2025-08-23,15645.62,Recurring
REV_00124,DEAL_0227,COMP_0039,2025-09-22,15645.62,One-time
REV_00125,DEAL_0227,COMP_0039,2025-10-22,15645.62,One-time
REV_00126,DEAL_0227,COMP_0039,2025-11-21,15645.62,One-time
REV_00127,DEAL_0227,COMP_0039,2025-12-21,15645.62,One-time
REV_00128,DEAL_0227,COMP_0039,2026-01-20,15645.62,Recurring
REV_00129,DEAL_0227,COMP_0039,2026-02-19,15645.62,One-time
REV_00130,DEAL_0231,COMP_0033,2024-09-18,3656.42,Recurring
REV_00131,DEAL_0231,COMP_0033,2024-10-18,3656.42,Recurring
REV_00132,DEAL_0231,COMP_0033,2024-11-17,3656.42,Recurring
REV_00133,DEAL_0231,COMP_0033,2024-12-17,3656.42,One-time
REV_00134,DEAL_0231,COMP_0033,2025-01-16,3656.42,One-time
REV_00135,DEAL_0231,COMP_0033,2025-02-15,3656.42,One-time
REV_00136,DEAL_0231,COMP_0033,2025-03-17,3656.42,Recurring
REV_00137,DEAL_0231,COMP_0033,2025-04-16,3656.42,Recurring
REV_00138,DEAL_0231,COMP_0033,2025-05-16,3656.42,Recurring
REV_00139,DEAL_0231,COMP_0033,2025-06-15,3656.42,One-time
REV_00140,DEAL_0249,COMP_0021,2025-02-18,3262.2,Recurring
REV_00141,DEAL_0249,COMP_0021,2025-03-20,3262.2,One-time
REV_00142,DEAL_0249,COMP_0021,2025-04-19,3262.2,One-time
REV_00143,DEAL_0249,COMP_0021,2025-05-19,3262.2,Recurring
REV_00144,DEAL_0249,COMP_0021,2025-06-18,3262.2,Recurring
REV_00145,DEAL_0249,COMP_0021,2025-07-18,3262.2,One-time
REV_00146,DEAL_0249,COMP_0021,2025-08-17,3262.2,One-time
REV_00147,DEAL_0262,COMP_0095,2025-10-17,941.72,One-time
REV_00148,DEAL_0262,COMP_0095,2025-11-16,941.72,One-time
REV_00149,DEAL_0262,COMP_0095,2025-12-16,941.72,Recurring
REV_00150,DEAL_0262,COMP_0095,2026-01-15,941.72,One-time
REV_00151,DEAL_0262,COMP_0095,2026-02-14,941.72,Recurring
REV_00152,DEAL_0262,COMP_0095,2026-03-16,941.72,Recurring
REV_00153,DEAL_0262,COMP_0095,2026-04-15,941.72,Recurring
REV_00154,DEAL_0262,COMP_0095,2026-05-15,941.72,Recurring
REV_00155,DEAL_0262,COMP_0095,2026-06-14,941.72,Recurring
REV_00156,DEAL_0262,COMP_0095,2026-07-14,941.72,One-time
REV_00157,DEAL_0262,COMP_0095,2026-08-13,941.72,Recurring
REV_00158,DEAL_0262,COMP_0095,2026-09-12,941.72,Recurring
REV_00159,DEAL_0300,COMP_0278,2025-09-25,30123.94,One-time
REV_00160,DEAL_0300,COMP_0278,2025-10-25,30123.94,One-time
REV_00161,DEAL_0300,COMP_0278,2025-11-24,30123.94,One-time
REV_00162,DEAL_0300,COMP_0278,2025-12-24,30123.94,One-time
REV_00163,DEAL_0300,COMP_0278,2026-01-23,30123.94,One-time
REV_00164,DEAL_0300,COMP_0278,2026-02-22,30123.94,One-time
REV_00165,DEAL_0300,COMP_0278,2026-03-24,30123.94,One-time
REV_00166,DEAL_0312,COMP_0234,2026-01-17,63389.79,Recurring
REV_00167,DEAL_0312,COMP_0234,2026-02-16,63389.79,One-time
REV_00168,DEAL_0312,COMP_0234,2026-03-18,63389.79,One-time
REV_00169,DEAL_0325,COMP_0223,2024-05-17,783368.05,Recurring
REV_00170,DEAL_0330,COMP_0293,2025-07-19,5821.26,One-time
REV_00171,DEAL_0330,COMP_0293,2025-08-18,5821.26,One-time
REV_00172,DEAL_0330,COMP_0293,2025-09-17,5821.26,One-time
REV_00173,DEAL_0330,COMP_0293,2025-10-17,5821.26,One-time
REV_00174,DEAL_0330,COMP_0293,2025-11-16,5821.26,Recurring
REV_00175,DEAL_0330,COMP_0293,2025-12-16,5821.26,Recurring
REV_00176,DEAL_0330,COMP_0293,2026-01-15,5821.26,One-time
REV_00177,DEAL_0330,COMP_0293,2026-02-14,5821.26,Recurring
REV_00178,DEAL_0330,COMP_0293,2026-03-16,5821.26,Recurring
REV_00179,DEAL_0331,COMP_0038,2025-08-09,8962.66,Recurring
REV_00180,DEAL_0331,COMP_0038,2025-09-08,8962.66,One-time
REV_00181,DEAL_0331,COMP_0038,2025-10-08,8962.66,One-time
REV_00182,DEAL_0331,COMP_0038,2025-11-07,8962.66,Recurring
REV_00183,DEAL_0331,COMP_0038,2025-12-07,8962.66,Recurring
REV_00184,DEAL_0331,COMP_0038,2026-01-06,8962.66,One-time
REV_00185,DEAL_0331,COMP_0038,2026-02-05,8962.66,One-time
REV_00186,DEAL_0331,COMP_0038,2026-03-07,8962.66,Recurring
REV_00187,DEAL_0331,COMP_0038,2026-04-06,8962.66,Recurring
REV_00188,DEAL_0331,COMP_0038,2026-05-06,8962.66,One-time
REV_00189,DEAL_0337,COMP_0163,2024-10-08,27211.17,Recurring
REV_00190,DEAL_0337,COMP_0163,2024-11-07,27211.17,One-time
REV_00191,DEAL_0337,COMP_0163,2024-12-07,27211.17,Recurring
REV_00192,DEAL_0337,COMP_0163,2025-01-06,27211.17,Recurring
REV_00193,DEAL_0337,COMP_0163,2025-02-05,27211.17,One-time
REV_00194,DEAL_0337,COMP_0163,2025-03-07,27211.17,Recurring
REV_00195,DEAL_0337,COMP_0163,2025-04-06,27211.17,One-time
REV_00196,DEAL_0337,COMP_0163,2025-05-06,27211.17,One-time
REV_00197,DEAL_0337,COMP_0163,2025-06-05,27211.17,One-time
REV_00198,DEAL_0337,COMP_0163,2025-07-05,27211.17,One-time
REV_00199,DEAL_0339,COMP_0005,2025-12-14,3133.81,Recurring
REV_00200,DEAL_0339,COMP_0005,2026-01-13,3133.81,Recurring
REV_00201,DEAL_0339,COMP_0005,2026-02-12,3133.81,Recurring
REV_00202,DEAL_0339,COMP_0005,2026-03-14,3133.81,Recurring
REV_00203,DEAL_0339,COMP_0005,2026-04-13,3133.81,One-time
REV_00204,DEAL_0339,COMP_0005,2026-05-13,3133.81,One-time
REV_00205,DEAL_0339,COMP_0005,2026-06-12,3133.81,One-time
REV_00206,DEAL_0339,COMP_0005,2026-07-12,3133.81,One-time
REV_00207,DEAL_0344,COMP_0262,2025-05-17,68794.38,Recurring
REV_00208,DEAL_0344,COMP_0262,2025-06-16,68794.38,Recurring
REV_00209,DEAL_0344,COMP_0262,2025-07-16,68794.38,Recurring
REV_00210,DEAL_0362,COMP_0111,2024-09-23,24112.57,Recurring
REV_00211,DEAL_0362,COMP_0111,2024-10-23,24112.57,Recurring
REV_00212,DEAL_0373,COMP_0254,2024-10-26,48747.7,One-time
REV_00213,DEAL_0373,COMP_0254,2024-11-25,48747.7,Recurring
REV_00214,DEAL_0373,COMP_0254,2024-12-25,48747.7,Recurring
REV_00215,DEAL_0373,COMP_0254,2025-01-24,48747.7,One-time
REV_00216,DEAL_0373,COMP_0254,2025-02-23,48747.7,One-time
REV_00217,DEAL_0373,COMP_0254,2025-03-25,48747.7,Recurring
REV_00218,DEAL_0373,COMP_0254,2025-04-24,48747.7,Recurring
REV_00219,DEAL_0373,COMP_0254,2025-05-24,48747.7,Recurring
REV_00220,DEAL_0373,COMP_0254,2025-06-23,48747.7,Recurring
REV_00221,DEAL_0373,COMP_0254,2025-07-23,48747.7,Recurring
REV_00222,DEAL_0373,COMP_0254,2025-08-22,48747.7,Recurring
REV_00223,DEAL_0373,COMP_0254,2025-09-21,48747.7,Recurring
REV_00224,DEAL_0377,COMP_0182,2025-10-21,2311.71,One-time
REV_00225,DEAL_0377,COMP_0182,2025-11-20,2311.71,Recurring
REV_00226,DEAL_0377,COMP_0182,2025-12-20,2311.71,One-time
REV_00227,DEAL_0377,COMP_0182,2026-01-19,2311.71,One-time
REV_00228,DEAL_0377,COMP_0182,2026-02-18,2311.71,One-time
REV_00229,DEAL_0377,COMP_0182,2026-03-20,2311.71,Recurring
REV_00230,DEAL_0377,COMP_0182,2026-04-19,2311.71,Recurring
REV_00231,DEAL_0377,COMP_0182,2026-05-19,2311.71,Recurring
REV_00232,DEAL_0377,COMP_0182,2026-06-18,2311.71,Recurring
REV_00233,DEAL_0391,COMP_0022,2025-12-18,1553.93,Recurring
REV_00234,DEAL_0391,COMP_0022,2026-01-17,1553.93,Recurring
REV_00235,DEAL_0391,COMP_0022,2026-02-16,1553.93,One-time
REV_00236,DEAL_0391,COMP_0022,2026-03-18,1553.93,Recurring
REV_00237,DEAL_0391,COMP_0022,2026-04-17,1553.93,One-time
REV_00238,DEAL_0391,COMP_0022,2026-05-17,1553.93,Recurring
REV_00239,DEAL_0391,COMP_0022,2026-06-16,1553.93,Recurring
REV_00240,DEAL_0391,COMP_0022,2026-07-16,1553.93,Recurring
REV_00241,DEAL_0391,COMP_0022,2026-08-15,1553.93,One-time
REV_00242,DEAL_0398,COMP_0210,2025-11-30,8022.61,Recurring
REV_00243,DEAL_0398,COMP_0210,2025-12-30,8022.61,Recurring
REV_00244,DEAL_0398,COMP_0210,2026-01-29,8022.61,Recurring
REV_00245,DEAL_0398,COMP_0210,2026-02-28,8022.61,One-time
REV_00246,DEAL_0398,COMP_0210,2026-03-30,8022.61,Recurring
REV_00247,DEAL_0398,COMP_0210,2026-04-29,8022.61,One-time
REV_00248,DEAL_0398,COMP_0210,2026-05-29,8022.61,One-time
REV_00249,DEAL_0398,COMP_0210,2026-06-28,8022.61,Recurring
REV_00250,DEAL_0398,COMP_0210,2026-07-28,8022.61,One-time
REV_00251,DEAL_0398,COMP_0210,2026-08-27,8022.61,Recurring
REV_00252,DEAL_0402,COMP_0051,2024-10-10,75503.97,One-time
REV_00253,DEAL_0402,COMP_0051,2024-11-09,75503.97,One-time
REV_00254,DEAL_0402,COMP_0051,2024-12-09,75503.97,Recurring
REV_00255,DEAL_0402,COMP_0051,2025-01-08,75503.97,One-time
REV_00256,DEAL_0402,COMP_0051,2025-02-07,75503.97,One-time
REV_00257,DEAL_0402,COMP_0051,2025-03-09,75503.97,One-time
REV_00258,DEAL_0402,COMP_0051,2025-04-08,75503.97,One-time
REV_00259,DEAL_0402,COMP_0051,2025-05-08,75503.97,Recurring
REV_00260,DEAL_0402,COMP_0051,2025-06-07,75503.97,Recurring
REV_00261,DEAL_0404,COMP_0227,2024-04-27,10412.68,Recurring
REV_00262,DEAL_0408,COMP_0235,2025-05-30,4598.62,One-time
REV_00263,DEAL_0408,COMP_0235,2025-06-29,4598.62,Recurring
REV_00264,DEAL_0408,COMP_0235,2025-07-29,4598.62,Recurring
REV_00265,DEAL_0408,COMP_0235,2025-08-28,4598.62,One-time
REV_00266,DEAL_0408,COMP_0235,2025-09-27,4598.62,Recurring
REV_00267,DEAL_0408,COMP_0235,2025-10-27,4598.62,Recurring
REV_00268,DEAL_0408,COMP_0235,2025-11-26,4598.62,Recurring
REV_00269,DEAL_0408,COMP_0235,2025-12-26,4598.62,One-time
REV_00270,DEAL_0408,COMP_0235,2026-01-25,4598.62,Recurring
REV_00271,DEAL_0408,COMP_0235,2026-02-24,4598.62,Recurring
REV_00272,DEAL_0409,COMP_0161,2025-09-17,14179.98,Recurring
REV_00273,DEAL_0409,COMP_0161,2025-10-17,14179.98,One-time
REV_00274,DEAL_0409,COMP_0161,2025-11-16,14179.98,Recurring
REV_00275,DEAL_0409,COMP_0161,2025-12-16,14179.98,One-time
REV_00276,DEAL_0409,COMP_0161,2026-01-15,14179.98,One-time
REV_00277,DEAL_0409,COMP_0161,2026-02-14,14179.98,One-time
REV_00278,DEAL_0409,COMP_0161,2026-03-16,14179.98,Recurring
REV_00279,DEAL_0409,COMP_0161,2026-04-15,14179.98,One-time
REV_00280,DEAL_0409,COMP_0161,2026-05-15,14179.98,Recurring
REV_00281,DEAL_0415,COMP_0079,2026-03-04,448102.47,Recurring
REV_00282,DEAL_0419,COMP_0145,2025-05-07,5441.65,One-time
REV_00283,DEAL_0419,COMP_0145,2025-06-06,5441.65,Recurring
REV_00284,DEAL_0419,COMP_0145,2025-07-06,5441.65,Recurring
REV_00285,DEAL_0419,COMP_0145,2025-08-05,5441.65,One-time
REV_00286,DEAL_0419,COMP_0145,2025-09-04,5441.65,Recurring
REV_00287,DEAL_0419,COMP_0145,2025-10-04,5441.65,One-time
REV_00288,DEAL_0419,COMP_0145,2025-11-03,5441.65,Recurring
REV_00289,DEAL_0419,COMP_0145,2025-12-03,5441.65,One-time
REV_00290,DEAL_0419,COMP_0145,2026-01-02,5441.65,One-time
REV_00291,DEAL_0419,COMP_0145,2026-02-01,5441.65,One-time
REV_00292,DEAL_0419,COMP_0145,2026-03-03,5441.65,Recurring
REV_00293,DEAL_0422,COMP_0045,2024-06-17,1380.92,One-time
REV_00294,DEAL_0422,COMP_0045,2024-07-17,1380.92,One-time
REV_00295,DEAL_0422,COMP_0045,2024-08-16,1380.92,One-time
REV_00296,DEAL_0422,COMP_0045,2024-09-15,1380.92,One-time
REV_00297,DEAL_0422,COMP_0045,2024-10-15,1380.92,One-time
REV_00298,DEAL_0422,COMP_0045,2024-11-14,1380.92,One-time
REV_00299,DEAL_0422,COMP_0045,2024-12-14,1380.92,One-time
REV_00300,DEAL_0422,COMP_0045,2025-01-13,1380.92,One-time
REV_00301,DEAL_0426,COMP_0109,2026-04-03,2650.92,Recurring
REV_00302,DEAL_0426,COMP_0109,2026-05-03,2650.92,Recurring
REV_00303,DEAL_0426,COMP_0109,2026-06-02,2650.92,Recurring
REV_00304,DEAL_0428,COMP_0027,2026-08-07,1424.24,Recurring
REV_00305,DEAL_0428,COMP_0027,2026-09-06,1424.24,One-time
REV_00306,DEAL_0428,COMP_0027,2026-10-06,1424.24,Recurring
REV_00307,DEAL_0428,COMP_0027,2026-11-05,1424.24,Recurring
REV_00308,DEAL_0428,COMP_0027,2026-12-05,1424.24,Recurring
REV_00309,DEAL_0428,COMP_0027,2027-01-04,1424.24,Recurring
REV_00310,DEAL_0428,COMP_0027,2027-02-03,1424.24,Recurring
REV_00311,DEAL_0428,COMP_0027,2027-03-05,1424.24,Recurring
REV_00312,DEAL_0428,COMP_0027,2027-04-04,1424.24,One-time
REV_00313,DEAL_0429,COMP_0195,2025-09-25,2554.02,One-time
REV_00314,DEAL_0429,COMP_0195,2025-10-25,2554.02,Recurring
REV_00315,DEAL_0429,COMP_0195,2025-11-24,2554.02,Recurring
REV_00316,DEAL_0429,COMP_0195,2025-12-24,2554.02,One-time
REV_00317,DEAL_0429,COMP_0195,2026-01-23,2554.02,Recurring
REV_00318,DEAL_0429,COMP_0195,2026-02-22,2554.02,Recurring
REV_00319,DEAL_0429,COMP_0195,2026-03-24,2554.02,One-time
REV_00320,DEAL_0429,COMP_0195,2026-04-23,2554.02,Recurring
REV_00321,DEAL_0429,COMP_0195,2026-05-23,2554.02,One-time
REV_00322,DEAL_0429,COMP_0195,2026-06-22,2554.02,One-time
REV_00323,DEAL_0430,COMP_0145,2024-09-01,10305.87,One-time
REV_00324,DEAL_0430,COMP_0145,2024-10-01,10305.87,Recurring
REV_00325,DEAL_0430,COMP_0145,2024-10-31,10305.87,One-time
REV_00326,DEAL_0430,COMP_0145,2024-11-30,10305.87,Recurring
REV_00327,DEAL_0430,COMP_0145,2024-12-30,10305.87,One-time
REV_00328,DEAL_0430,COMP_0145,2025-01-29,10305.87,Recurring
REV_00329,DEAL_0430,COMP_0145,2025-02-28,10305.87,One-time
REV_00330,DEAL_0430,COMP_0145,2025-03-30,10305.87,One-time
REV_00331,DEAL_0430,COMP_0145,2025-04-29,10305.87,Recurring
REV_00332,DEAL_0430,COMP_0145,2025-05-29,10305.87,Recurring
REV_00333,DEAL_0430,COMP_0145,2025-06-28,10305.87,One-time
REV_00334,DEAL_0430,COMP_0145,2025-07-28,10305.87,One-time
REV_00335,DEAL_0434,COMP_0287,2026-01-06,20491.21,Recurring
REV_00336,DEAL_0435,COMP_0011,2025-03-05,3565.62,Recurring
REV_00337,DEAL_0435,COMP_0011,2025-04-04,3565.62,Recurring
REV_00338,DEAL_0435,COMP_0011,2025-05-04,3565.62,Recurring
REV_00339,DEAL_0435,COMP_0011,2025-06-03,3565.62,Recurring
REV_00340,DEAL_0435,COMP_0011,2025-07-03,3565.62,One-time
REV_00341,DEAL_0453,COMP_0027,2026-04-24,17361.93,Recurring
REV_00342,DEAL_0453,COMP_0027,2026-05-24,17361.93,One-time
REV_00343,DEAL_0459,COMP_0005,2024-11-03,9110.14,Recurring
REV_00344,DEAL_0459,COMP_0005,2024-12-03,9110.14,One-time
REV_00345,DEAL_0462,COMP_0074,2025-12-09,3497.96,Recurring
REV_00346,DEAL_0462,COMP_0074,2026-01-08,3497.96,One-time
REV_00347,DEAL_0462,COMP_0074,2026-02-07,3497.96,One-time
REV_00348,DEAL_0462,COMP_0074,2026-03-09,3497.96,Recurring
REV_00349,DEAL_0462,COMP_0074,2026-04-08,3497.96,Recurring
REV_00350,DEAL_0462,COMP_0074,2026-05-08,3497.96,Recurring
REV_00351,DEAL_0469,COMP_0246,2026-04-08,124282.61,Recurring
REV_00352,DEAL_0469,COMP_0246,2026-05-08,124282.61,Recurring
REV_00353,DEAL_0469,COMP_0246,2026-06-07,124282.61,Recurring
REV_00354,DEAL_0469,COMP_0246,2026-07-07,124282.61,One-time
REV_00355,DEAL_0469,COMP_0246,2026-08-06,124282.61,One-time
REV_00356,DEAL_0469,COMP_0246,2026-09-05,124282.61,One-time
REV_00357,DEAL_0469,COMP_0246,2026-10-05,124282.61,Recurring
REV_00358,DEAL_0469,COMP_0246,2026-11-04,124282.61,Recurring
REV_00359,DEAL_0471,COMP_0148,2025-01-19,73758.09,Recurring
REV_00360,DEAL_0471,COMP_0148,2025-02-18,73758.09,Recurring
REV_00361,DEAL_0482,COMP_0161,2024-06-24,15687.25,Recurring
REV_00362,DEAL_0482,COMP_0161,2024-07-24,15687.25,One-time
REV_00363,DEAL_0482,COMP_0161,2024-08-23,15687.25,Recurring
REV_00364,DEAL_0482,COMP_0161,2024-09-22,15687.25,Recurring
REV_00365,DEAL_0482,COMP_0161,2024-10-22,15687.25,Recurring
REV_00366,DEAL_0482,COMP_0161,2024-11-21,15687.25,Recurring
REV_00367,DEAL_0482,COMP_0161,2024-12-21,15687.25,Recurring
REV_00368,DEAL_0482,COMP_0161,2025-01-20,15687.25,Recurring
REV_00369,DEAL_0482,COMP_0161,2025-02-19,15687.25,One-time
REV_00370,DEAL_0485,COMP_0069,2026-05-25,6209.88,One-time
REV_00371,DEAL_0485,COMP_0069,2026-06-24,6209.88,Recurring
