activity_id,deal_id,activity_type,activity_date,duration_minutes,outcome,notes
ACT_00025,DEAL_0006,Meeting,2026-01-15,30,Positive,Situation best research need bank agreement.
ACT_00026,DEAL_0006,Call,2026-03-04,60,Neutral,May standard local purpose.
ACT_00027,DEAL_0007,Proposal Sent,2026-01-03,45,No Response,Whose culture worry point Democrat bad.
ACT_00028,DEAL_0007,Follow-up,2024-08-26,30,Positive,Others already health affect near one meeting.
ACT_00029,DEAL_0007,Follow-up,2025-09-30,60,Negative,Network new some both win to.
ACT_00030,DEAL_0007,Follow-up,2025-03-24,30,Negative,Study raise management pattern.
ACT_00031,DEAL_0007,Email,2024-06-13,60,No Response,Thus consumer back from without indeed.
ACT_00032,DEAL_0007,Proposal Sent,2025-01-08,45,No Response,Play according challenge reality dog.
ACT_00033,DEAL_0007,Call,2024-08-20,90,Neutral,Prove front process nearly town pressure.
ACT_00034,DEAL_0008,Meeting,2025-09-09,45,No Response,Together operation evening cup me far degree.
ACT_00035,DEAL_0008,Meeting,2025-07-12,90,Neutral,Main federal force view might.
ACT_00036,DEAL_0008,Email,2026-02-17,90,Neutral,Significant group husband reduce.
ACT_00037,DEAL_0008,Demo,2026-03-03,45,Negative,Mind before beyond base.
ACT_00038,DEAL_0008,Proposal Sent,2024-12-14,45,No Response,West west together analysis century.
ACT_00039,DEAL_0008,Email,2025-04-17,90,No Response,From reality those professional.
ACT_00040,DEAL_0008,Follow-up,2025-02-23,30,Positive,Lay many family Congress anything education home.
ACT_00041,DEAL_0008,Proposal Sent,2026-02-22,45,Neutral,Collection growth take deep most technology friend member.
ACT_00042,DEAL_0008,Meeting,2025-04-04,15,No Response,Assume understand station table fast thousand they.
ACT_00043,DEAL_0008,Call,2025-11-07,90,No Response,Ball country college water fight box.
ACT_00044,DEAL_0009,Call,2025-06-30,90,Negative,Light garden its general.
ACT_00045,DEAL_0009,Meeting,2025-12-09,60,Negative,Dark answer world raise young get time.
ACT_00046,DEAL_0009,Email,2025-12-18,15,Positive,Three western rock seem debate window.
ACT_00047,DEAL_0009,Email,2026-03-07,30,Neutral,War month issue pick past control.
ACT_00048,DEAL_0009,Email,2025-07-03,30,Positive,Meet live city body agent mention dream.
ACT_00049,DEAL_0009,Demo,2026-03-11,30,Positive,Water consider probably company drop with guess.
ACT_00050,DEAL_0009,Email,2025-09-04,90,No Response,Tv away art sort since service.
ACT_00051,DEAL_0009,Follow-up,2025-07-18,60,Negative,Network know detail administration.
ACT_00052,DEAL_0009,Email,2025-10-27,45,Neutral,Sense party father budget store say capital hour.
ACT_00053,DEAL_0009,Proposal Sent,2025-06-27,15,Positive,Soldier manage stock heavy west television ever.
ACT_00054,DEAL_0010,Follow-up,2025-05-20,60,Positive,Check data turn.
ACT_00055,DEAL_0010,Demo,2026-01-28,15,Negative,Bed imagine usually.
ACT_00056,DEAL_0010,Proposal Sent,2025-05-18,60,Negative,Cell administration party actually data more.
ACT_00057,DEAL_0010,Follow-up,2026-02-08,15,Negative,Issue reality show who old particular condition science.
ACT_00058,DEAL_0010,Proposal Sent,2026-01-27,15,Positive,Simple tell far bill data.
ACT_00059,DEAL_0011,Email,2025-12-07,30,Positive,Might information writer main paper.
ACT_00060,DEAL_0011,Email,2025-07-10,30,No Response,Realize administration choice matter worry product do.
ACT_00061,DEAL_0011,Call,2025-06-30,30,Neutral,Money remain north.
ACT_00062,DEAL_0011,Proposal Sent,2025-12-24,30,No Response,Like away side president today practice.
ACT_00063,DEAL_0011,Follow-up,2025-12-01,15,Negative,Themselves ok turn pass join reveal carry theory.
ACT_00064,DEAL_0011,Follow-up,2025-07-20,60,No Response,Wide bank room me information line.
ACT_00065,DEAL_0012,Call,2025-11-14,30,No Response,Relate respond want.
ACT_00066,DEAL_0012,Proposal Sent,2025-10-11,45,Neutral,Out best lay agree name.
ACT_00067,DEAL_0012,Proposal Sent,2026-01-11,90,No Response,Fight impact experience southern hard professor.
ACT_00068,DEAL_0013,Meeting,2025-06-14,90,Negative,Service attorney nice real culture action.
ACT_00069,DEAL_0013,Meeting,2025-05-14,60,No Response,Know myself bill beautiful arrive.
ACT_00070,DEAL_0013,Follow-up,2024-12-16,45,Neutral,Certainly most learn community.
ACT_00071,DEAL_0013,Proposal Sent,2025-08-16,90,Neutral,Card success team television best economic.
ACT_00072,DEAL_0013,Demo,2025-10-22,90,Negative,Rich season natural bank camera peace.
ACT_00073,DEAL_0013,Meeting,2025-12-02,60,No Response,Particular economy continue finish offer.
ACT_00074,DEAL_0013,Demo,2025-07-12,15,Positive,Anyone middle air serve state.
ACT_00075,DEAL_0014,Proposal Sent,2025-01-25,15,Neutral,Identify state light card could too century.
ACT_00076,DEAL_0014,Meeting,2025-09-20,15,Negative,Sit great machine student recent.
ACT_00077,DEAL_0014,Call,2025-11-03,30,Negative,Book position behind note.
ACT_00078,DEAL_0014,Email,2026-01-29,45,Neutral,Much marriage family certain agency teach hit.
ACT_00079,DEAL_0014,Email,2025-12-06,15,No Response,Summer but throw daughter rich entire husband.
ACT_00080,DEAL_0014,Meeting,2025-07-19,30,Neutral,Local open the once already.
ACT_00081,DEAL_0015,Meeting,2024-12-14,90,Neutral,Nice return newspaper sell administration eat.
ACT_00082,DEAL_0015,Call,2025-08-20,45,Negative,News speak positive use say.
ACT_00083,DEAL_0015,Email,2025-06-23,90,No Response,Agreement across reveal particularly.
ACT_00084,DEAL_0015,Proposal Sent,2024-07-05,30,Positive,Early herself his agency audience.
ACT_00085,DEAL_0015,Follow-up,2025-07-20,45,No Response,Certain seem commercial raise new.
ACT_00086,DEAL_0015,Call,2025-10-08,60,Positive,Food game event argue goal many.
ACT_00087,DEAL_0016,Follow-up,2025-12-10,45,Positive,Result budget meet PM better hear ball.
ACT_00088,DEAL_0016,Follow-up,2024-12-16,90,No Response,Process senior sport across strategy mother.
ACT_00089,DEAL_0016,Email,2024-12-25,15,Negative,Hard camera according college.
ACT_00090,DEAL_0016,Meeting,2024-12-16,60,No Response,Cut though him huge.
ACT_00091,DEAL_0016,Email,2025-09-19,30,Positive,Language medical heart sound amount family.
ACT_00092,DEAL_0016,Follow-up,2024-09-27,60,Positive,Building evidence experience lose sell work tree.
ACT_00093,DEAL_0016,Meeting,2026-02-18,90,Positive,Member physical adult traditional you after practice.
ACT_00094,DEAL_0016,Meeting,2026-03-01,90,Neutral,Employee list last speak finish provide leave.
ACT_00095,DEAL_0016,Meeting,2025-03-13,90,Neutral,Establish body many include watch.
ACT_00096,DEAL_0016,Call,2025-11-15,15,No Response,Price recognize program defense.
ACT_00097,DEAL_0016,Demo,2026-01-23,90,Positive,Work one involve husband consumer east.
ACT_00098,DEAL_0017,Demo,2025-08-03,45,No Response,Rich should local responsibility learn.
ACT_00099,DEAL_0017,Call,2025-03-16,30,Negative,A mother three knowledge all doctor throughout.
ACT_00100,DEAL_0017,Email,2026-01-09,60,Positive,Stay small American him.
ACT_00101,DEAL_0017,Proposal Sent,2024-07-12,60,Negative,Director everyone really beat.
ACT_00102,DEAL_0017,Email,2024-09-15,60,No Response,Pm young thank information.
ACT_00103,DEAL_0018,Call,2025-09-28,60,Neutral,Determine discuss receive class beat more.
ACT_00104,DEAL_0018,Demo,2025-10-11,60,Neutral,Station husband much human.
ACT_00105,DEAL_0018,Proposal Sent,2025-10-03,90,Neutral,Reveal practice machine Republican eye.
ACT_00106,DEAL_0018,Call,2026-03-12,15,Negative,Carry dog amount event marriage.
ACT_00107,DEAL_0019,Meeting,2025-07-03,90,Positive,Election describe likely source Republican.
ACT_00108,DEAL_0019,Email,2025-04-07,60,No Response,Fine life quite agency career learn learn.
ACT_00109,DEAL_0019,Meeting,2025-03-18,45,Neutral,Half stop pay boy sing.
ACT_00110,DEAL_0019,Meeting,2025-12-18,45,Positive,Method family million whether stock.
ACT_00111,DEAL_0019,Meeting,2024-09-09,30,Negative,Close world stage dark.
ACT_00112,DEAL_0019,Proposal Sent,2026-01-05,60,Neutral,Defense lawyer big account.
ACT_00113,DEAL_0019,Demo,2026-01-07,15,Neutral,Trial expert six structure any soldier.
ACT_00114,DEAL_0019,Call,2025-02-24,45,Neutral,Congress important low social choose member school.
ACT_00115,DEAL_0020,Email,2025-06-05,15,Neutral,Fire church sound side.
ACT_00116,DEAL_0020,Proposal Sent,2025-02-27,30,Negative,Scientist improve black education my chair it.
ACT_00117,DEAL_0020,Email,2025-04-18,45,Positive,Majority along what short set hold.
ACT_00118,DEAL_0021,Demo,2026-02-28,60,Positive,Require miss movie red range per strategy we.
ACT_00119,DEAL_0021,Meeting,2025-03-08,30,Neutral,Nothing magazine apply wait question.
ACT_00120,DEAL_0021,Call,2025-10-07,90,Negative,Through heart into rich guy fact nation medical.
ACT_00121,DEAL_0021,Proposal Sent,2025-08-11,60,Neutral,Center anything at store.
ACT_00122,DEAL_0021,Follow-up,2025-10-24,15,No Response,View soldier board hear.
ACT_00123,DEAL_0021,Proposal Sent,2026-01-06,90,Positive,Career fast whole executive.
ACT_00124,DEAL_0022,Call,2026-02-16,15,Negative,Nothing business page account drug.
ACT_00125,DEAL_0022,Call,2026-02-23,90,Negative,Where rest behavior realize.
ACT_00126,DEAL_0022,Email,2025-09-26,60,Positive,Raise up debate play finally.
ACT_00127,DEAL_0022,Email,2026-01-29,60,Negative,Economic laugh lose friend ever.
ACT_00128,DEAL_0022,Follow-up,2026-02-08,45,Positive,Matter hundred view bad.
ACT_00129,DEAL_0022,Email,2026-02-20,45,No Response,Mother anyone evidence message.
ACT_00130,DEAL_0023,Demo,2025-01-29,90,Positive,Animal receive local kitchen fight.
ACT_00131,DEAL_0023,Meeting,2025-07-29,60,Positive,Group forward interest then ten class western.
ACT_00132,DEAL_0023,Call,2026-02-13,30,No Response,Follow music every.
ACT_00133,DEAL_0023,Proposal Sent,2024-08-19,15,Positive,People the all.
ACT_00134,DEAL_0023,Call,2024-12-24,90,Negative,No claim between interesting soon much.
ACT_00135,DEAL_0024,Demo,2024-04-30,60,Neutral,Program nature benefit point.
ACT_00136,DEAL_0024,Email,2025-05-29,45,Negative,Heavy single room student relationship.
ACT_00137,DEAL_0024,Meeting,2025-09-21,45,Neutral,South too quality until college.
ACT_00138,DEAL_0024,Proposal Sent,2025-02-04,45,Positive,Forward remember always challenge through.
ACT_00139,DEAL_0024,Follow-up,2024-06-18,45,No Response,Traditional really writer something yet past test data.
ACT_00140,DEAL_0024,Email,2025-07-16,90,Negative,Their east new animal.
ACT_00141,DEAL_0024,Call,2024-07-11,30,Negative,Meet must center finish right million Mr manage.
ACT_00142,DEAL_0025,Follow-up,2025-10-04,30,Positive,Next third leave choose fund.
ACT_00143,DEAL_0025,Follow-up,2025-05-04,60,Neutral,Would fish feeling factor north performance reason.
ACT_00144,DEAL_0025,Demo,2025-12-31,30,Neutral,Spring mind bed international environment that as.
ACT_00145,DEAL_0025,Demo,2025-07-07,45,Negative,Himself establish a car.
ACT_00146,DEAL_0025,Demo,2025-03-08,90,Neutral,Recently not ago very other dinner read.
ACT_00147,DEAL_0025,Call,2024-12-23,30,Neutral,Admit really water key.
ACT_00148,DEAL_0025,Call,2025-01-28,45,Neutral,Hear number forget various.
ACT_00149,DEAL_0025,Demo,2025-11-27,30,Neutral,We laugh moment outside.
ACT_00150,DEAL_0026,Email,2026-02-27,90,Positive,Alone study arrive itself.
ACT_00151,DEAL_0026,Call,2025-04-18,45,Neutral,Hot mother finally then.
ACT_00152,DEAL_0026,Follow-up,2026-02-15,15,Negative,Election parent bed son.
ACT_00153,DEAL_0026,Demo,2025-08-15,60,Negative,Left team impact region since respond.
ACT_00154,DEAL_0026,Demo,2026-01-20,45,Neutral,Reality discover source myself usually just choose specific.
ACT_00155,DEAL_0026,Call,2025-07-08,15,Neutral,Speech finish drop camera second parent.
ACT_00156,DEAL_0026,Call,2025-03-12,15,Negative,Best main low particularly phone grow.
ACT_00157,DEAL_0027,Proposal Sent,2025-04-29,90,Neutral,Professional region modern seem eat head then.
ACT_00158,DEAL_0027,Proposal Sent,2025-12-12,30,Neutral,Hold require support ball perhaps.
ACT_00159,DEAL_0027,Follow-up,2025-12-26,15,Negative,Soon section including enter three.
ACT_00160,DEAL_0027,Email,2025-05-16,60,Neutral,You above face hair cause suddenly.
ACT_00161,DEAL_0027,Proposal Sent,2025-07-29,90,No Response,Discuss them everything choose.
ACT_00162,DEAL_0027,Follow-up,2025-08-29,45,Neutral,Main buy reveal win worker skill.
ACT_00163,DEAL_0027,Demo,2025-12-30,60,No Response,Window class western send.
ACT_00164,DEAL_0027,Call,2025-07-03,30,Neutral,Trial continue plan above laugh.
ACT_00165,DEAL_0027,Call,2026-02-14,15,No Response,Ten other oil avoid.
ACT_00166,DEAL_0027,Email,2025-10-10,45,No Response,Yard approach participant theory on.
ACT_00167,DEAL_0027,Call,2026-02-11,30,Neutral,Marriage character area early dinner occur because.
ACT_00168,DEAL_0028,Call,2026-02-26,60,No Response,Picture be increase build discuss.
ACT_00169,DEAL_0028,Follow-up,2026-01-04,45,No Response,Different especially little window teacher affect.
ACT_00170,DEAL_0028,Call,2025-10-13,60,No Response,Air popular big card couple.
ACT_00171,DEAL_0029,Proposal Sent,2026-03-14,60,Negative,Star because per black collection keep.
ACT_00172,DEAL_0029,Demo,2025-12-08,90,Positive,Before positive clearly.
ACT_00173,DEAL_0030,Email,2025-12-11,60,No Response,Skin very happen animal white.
ACT_00174,DEAL_0030,Email,2026-02-10,30,No Response,Front finally hard although.
ACT_00175,DEAL_0030,Follow-up,2026-01-25,15,No Response,Really moment around chair water local.
ACT_00176,DEAL_0030,Proposal Sent,2026-01-24,15,Neutral,Weight sea garden detail choose test.
ACT_00177,DEAL_0030,Meeting,2026-03-06,60,No Response,Mother manage I whole.
ACT_00178,DEAL_0030,Meeting,2025-11-27,45,No Response,Beyond within occur.
ACT_00179,DEAL_0030,Call,2025-12-06,60,Negative,Organization hard charge.
ACT_00180,DEAL_0030,Proposal Sent,2026-02-28,15,Neutral,Standard off imagine.
ACT_00181,DEAL_0030,Demo,2025-12-12,60,Positive,Outside ready open president kid identify.
ACT_00182,DEAL_0030,Follow-up,2026-02-11,90,Positive,Yard music show.
ACT_00183,DEAL_0031,Proposal Sent,2026-03-11,90,Neutral,Near less seem effort theory unit.
ACT_00184,DEAL_0031,Demo,2026-03-14,60,Negative,Newspaper reflect us project election enjoy.
ACT_00185,DEAL_0031,Demo,2026-03-07,15,Neutral,Pretty use win from level agency.
ACT_00186,DEAL_0031,Demo,2026-03-05,90,Neutral,Lay owner or least executive.
ACT_00187,DEAL_0032,Email,2024-10-04,45,Negative,Plant need build subject.
ACT_00188,DEAL_0032,Follow-up,2026-02-06,30,Positive,Her big next form crime walk.
ACT_00189,DEAL_0032,Email,2024-04-27,15,No Response,Simply second interesting.
ACT_00190,DEAL_0032,Follow-up,2025-06-09,45,Positive,Consider partner side.
ACT_00191,DEAL_0032,Proposal Sent,2025-11-06,60,Neutral,Her if artist open industry art.
ACT_00192,DEAL_0032,Demo,2024-05-10,90,No Response,Player career stop think.
ACT_00193,DEAL_0032,Email,2024-04-25,30,Negative,Case even energy star some.
ACT_00194,DEAL_0032,Proposal Sent,2024-09-24,30,Neutral,Win board test thought mother.
ACT_00195,DEAL_0032,Call,2026-01-11,30,Positive,Play sport never though not.
ACT_00196,DEAL_0033,Meeting,2025-11-17,45,No Response,Discuss natural sing all along suddenly.
ACT_00197,DEAL_0033,Meeting,2025-11-17,30,Positive,There many former speak.
ACT_00198,DEAL_0033,Call,2025-12-03,30,Positive,Direction north reflect section threat near.
ACT_00199,DEAL_0033,Proposal Sent,2025-11-12,45,Positive,Be yeah different idea read carry local fall.
ACT_00200,DEAL_0033,Demo,2025-06-07,60,No Response,Toward simple part enter beautiful form.
ACT_00201,DEAL_0033,Proposal Sent,2025-05-27,15,No Response,Maybe already become would white PM tend.
ACT_00202,DEAL_0033,Call,2025-08-19,30,No Response,Most camera bag star.
ACT_00203,DEAL_0033,Demo,2025-06-01,60,No Response,Person together wait dog statement politics.
ACT_00204,DEAL_0034,Proposal Sent,2025-04-16,90,Positive,Popular course mother water magazine nothing.
ACT_00205,DEAL_0034,Call,2025-08-03,90,Negative,Including camera debate kid.
ACT_00206,DEAL_0034,Proposal Sent,2025-07-18,90,Neutral,Reach news energy much occur.
ACT_00207,DEAL_0035,Call,2025-12-01,30,Positive,Guess level any improve.
ACT_00208,DEAL_0035,Follow-up,2025-11-11,45,Positive,Past month woman above take threat.
ACT_00209,DEAL_0036,Email,2025-11-15,90,Negative,Participant magazine way fire play record serve.
ACT_00210,DEAL_0036,Meeting,2026-02-11,15,Positive,Course interview watch red enough research.
ACT_00211,DEAL_0036,Email,2025-12-06,60,Neutral,Training thought board.
ACT_00212,DEAL_0036,Call,2026-02-13,45,Neutral,Edge seven need administration operation discover build night.
ACT_00213,DEAL_0037,Follow-up,2026-01-11,90,Negative,Report admit benefit almost avoid claim.
ACT_00214,DEAL_0037,Email,2025-08-14,15,Negative,Air article term model him.
ACT_00215,DEAL_0037,Meeting,2025-04-04,45,No Response,Cause article bank.
ACT_00216,DEAL_0037,Email,2025-07-16,60,Positive,Safe billion positive spring debate newspaper.
ACT_00217,DEAL_0037,Meeting,2025-08-23,60,Neutral,Rather process draw bit.
ACT_00218,DEAL_0037,Email,2025-05-09,45,Negative,Style drive myself long.
ACT_00219,DEAL_0037,Proposal Sent,2025-07-18,60,Neutral,Nor civil continue another although write.
ACT_00220,DEAL_0037,Follow-up,2025-06-01,30,Positive,Edge bed not wide next staff mention.
ACT_00221,DEAL_0037,Email,2025-04-07,90,Positive,Range back letter across hit rock sit.
ACT_00222,DEAL_0038,Follow-up,2025-10-13,90,Negative,Save story sport agreement exist plan mother.
ACT_00223,DEAL_0038,Demo,2025-03-27,90,Negative,Thing marriage accept by financial team fear.
ACT_00224,DEAL_0038,Meeting,2025-04-25,90,Negative,Mrs listen idea above section.
ACT_00225,DEAL_0038,Call,2025-04-11,90,No Response,Hundred so special painting management detail push why.
ACT_00226,DEAL_0038,Proposal Sent,2026-03-07,60,No Response,Drug national bed by wind.
ACT_00227,DEAL_0038,Call,2025-05-05,90,Neutral,Fill election skill within.
ACT_00228,DEAL_0038,Follow-up,2025-02-10,45,Neutral,My window determine rich these lead.
ACT_00229,DEAL_0038,Email,2025-03-04,15,Positive,Cell notice wait something enough.
ACT_00230,DEAL_0038,Demo,2024-10-17,15,Neutral,Make film admit next keep significant money.
ACT_00231,DEAL_0039,Demo,2025-12-23,60,Positive,No ask half act also candidate skin.
ACT_00232,DEAL_0039,Meeting,2024-12-26,45,Neutral,Mean several box music store soon result.
ACT_00233,DEAL_0039,Email,2024-12-11,30,Negative,There not plan five eye.
ACT_00234,DEAL_0039,Meeting,2024-06-04,15,Negative,Themselves bag dinner environmental suddenly happen.
ACT_00235,DEAL_0039,Meeting,2025-04-21,90,Negative,Board leader fight third forget full.
ACT_00236,DEAL_0039,Email,2025-03-20,15,Negative,Particular relationship safe listen evening.
ACT_00237,DEAL_0039,Meeting,2025-08-12,60,Positive,Stock first society available other fall hair.
ACT_00238,DEAL_0039,Call,2025-11-02,30,Negative,Election gun less body.
ACT_00239,DEAL_0039,Meeting,2025-06-11,60,No Response,Measure buy everything its of.
ACT_00240,DEAL_0039,Email,2024-10-05,30,No Response,Cold pay hour case movie.
ACT_00241,DEAL_0039,Call,2024-11-09,60,Negative,White customer space yes listen responsibility.
ACT_00242,DEAL_0040,Demo,2025-09-08,15,Negative,Couple ability serious improve small some image.
ACT_00243,DEAL_0040,Proposal Sent,2026-02-08,45,Positive,Market push two vote.
ACT_00244,DEAL_0040,Call,2025-09-09,90,Negative,Item story police letter church candidate individual.
ACT_00245,DEAL_0040,Meeting,2025-11-07,15,Neutral,While show require subject life.
ACT_00246,DEAL_0040,Meeting,2026-01-28,15,Negative,Fill choice crime lose must front.
ACT_00247,DEAL_0040,Demo,2025-10-04,90,Neutral,Indeed surface exactly edge money plant over move.
ACT_00248,DEAL_0040,Proposal Sent,2025-07-05,90,No Response,Opportunity peace century decision rule.
ACT_00249,DEAL_0040,Call,2025-10-22,90,Positive,Election remember thing according moment free cause another.
ACT_00250,DEAL_0040,Meeting,2026-01-07,45,Positive,Strategy ever ok finish establish during.
ACT_00251,DEAL_0041,Demo,2025-08-12,15,No Response,Talk question trade both.
ACT_00252,DEAL_0041,Call,2025-07-07,45,No Response,Begin bag interview policy.
ACT_00253,DEAL_0041,Meeting,2025-10-19,30,Negative,Defense level right indicate safe.
ACT_00254,DEAL_0041,Call,2025-10-25,15,Negative,Store laugh environment easy chair security fill.
ACT_00255,DEAL_0041,Email,2025-03-17,30,Positive,Really traditional run treatment.
ACT_00256,DEAL_0041,Demo,2025-03-26,90,Positive,Concern summer where floor region spring if.
ACT_00257,DEAL_0042,Proposal Sent,2025-03-04,30,Neutral,Spring history their surface but hard them eat.
ACT_00258,DEAL_0042,Meeting,2025-12-11,60,Negative,Network day phone professional up within final.
ACT_00259,DEAL_0042,Meeting,2026-03-11,30,Positive,Meeting result themselves believe mind charge major letter.
ACT_00260,DEAL_0042,Proposal Sent,2025-06-07,30,Neutral,House bill body center support care music.
ACT_00261,DEAL_0042,Follow-up,2025-04-06,15,No Response,Box produce expect could test.
ACT_00262,DEAL_0042,Demo,2024-06-24,90,Positive,Gun smile thousand behavior authority trip.
ACT_00263,DEAL_0042,Email,2025-12-31,45,Positive,Fear occur result president school sure rise.
ACT_00264,DEAL_0042,Follow-up,2025-11-14,90,Positive,Area have kind energy walk from play.
ACT_00265,DEAL_0042,Meeting,2024-07-29,60,Positive,Realize build news write.
ACT_00266,DEAL_0043,Proposal Sent,2025-10-22,45,Positive,Around keep beautiful more send.
ACT_00267,DEAL_0043,Proposal Sent,2025-12-06,45,Neutral,Explain tonight person player during least design different.
ACT_00268,DEAL_0043,Meeting,2024-08-25,30,Neutral,Treatment short those he every position.
ACT_00269,DEAL_0044,Meeting,2025-12-08,90,Negative,Scientist establish value.
ACT_00270,DEAL_0044,Demo,2026-02-27,15,Negative,Among write them almost process.
ACT_00271,DEAL_0044,Call,2025-08-30,30,Negative,Current total line place.
ACT_00272,DEAL_0044,Email,2026-01-30,15,Positive,Rather across citizen rest discover draw you sport.
ACT_00273,DEAL_0044,Call,2025-10-20,90,Negative,Seem show officer drug finish.
ACT_00274,DEAL_0044,Proposal Sent,2025-09-22,45,Negative,Get drug pass quality full single.
ACT_00275,DEAL_0045,Follow-up,2025-09-27,45,Neutral,Response project main young weight.
ACT_00276,DEAL_0045,Call,2025-09-25,15,Negative,View spend of rest.
ACT_00277,DEAL_0045,Proposal Sent,2025-07-02,45,No Response,Particularly town group friend base.
ACT_00278,DEAL_0045,Email,2025-01-14,30,Positive,Section dark stop none company.
ACT_00279,DEAL_0046,Follow-up,2025-12-24,15,Positive,Piece talk page agree.
ACT_00280,DEAL_0046,Demo,2025-10-13,15,Positive,Meet also behind well two with.
ACT_00281,DEAL_0046,Demo,2025-09-08,60,Neutral,Reduce these start weight generation.
ACT_00282,DEAL_0046,Follow-up,2026-03-13,90,No Response,Strong hundred risk center range heavy.
ACT_00283,DEAL_0046,Proposal Sent,2026-02-24,45,Negative,Area usually take culture common manage eight.
ACT_00284,DEAL_0046,Meeting,2025-11-11,30,Positive,Special choose push hair.
ACT_00285,DEAL_0046,Demo,2026-02-11,90,Neutral,Themselves training maybe deal allow its smile.
ACT_00286,DEAL_0046,Email,2025-10-10,60,Positive,During glass report eye.
ACT_00287,DEAL_0046,Demo,2025-07-06,45,No Response,Security medical could standard.
ACT_00288,DEAL_0047,Call,2025-10-12,30,Neutral,Poor recently hear myself.
ACT_00289,DEAL_0047,Proposal Sent,2025-09-16,45,Negative,Memory happen painting few reach.
ACT_00290,DEAL_0047,Demo,2025-10-31,30,Negative,Century stuff key PM.
ACT_00291,DEAL_0047,Meeting,2025-08-24,60,No Response,Modern court himself notice account area.
ACT_00292,DEAL_0047,Email,2025-09-11,15,No Response,Officer blood time above professional.
ACT_00293,DEAL_0047,Email,2025-07-25,45,No Response,Ten price concern whether view.
ACT_00294,DEAL_0047,Demo,2025-06-28,30,Negative,Low somebody free identify.
ACT_00295,DEAL_0047,Meeting,2025-07-29,90,Neutral,Success reflect put water.
ACT_00296,DEAL_0047,Proposal Sent,2025-10-14,15,No Response,Special they short kid return pay wear.
ACT_00297,DEAL_0048,Meeting,2025-04-03,90,Positive,Sit affect risk girl.
ACT_00298,DEAL_0048,Meeting,2025-06-16,90,No Response,Yard course break successful.
ACT_00299,DEAL_0048,Demo,2025-04-03,90,No Response,Relationship group choose strong.
ACT_00300,DEAL_0049,Proposal Sent,2024-11-07,30,Neutral,Deal their cause guess so official.
ACT_00301,DEAL_0049,Demo,2024-12-20,60,Positive,Control throughout result take.
ACT_00302,DEAL_0049,Meeting,2024-12-08,30,No Response,Town former way through certain safe.
ACT_00303,DEAL_0049,Demo,2024-12-10,90,Negative,Light appear professional nation wall staff but.
ACT_00304,DEAL_0049,Proposal Sent,2024-12-09,30,Neutral,Adult probably between word trial.
ACT_00305,DEAL_0050,Follow-up,2024-11-16,15,No Response,Necessary cup eat prove assume husband police century.
ACT_00306,DEAL_0050,Email,2025-01-03,90,No Response,Call miss social half again allow head.
ACT_00307,DEAL_0050,Meeting,2025-04-14,90,Positive,Drug door world everybody door have turn per.
ACT_00308,DEAL_0050,Demo,2025-09-13,30,Negative,According power write appear morning bill.
ACT_00309,DEAL_0050,Demo,2025-02-28,15,Positive,Still actually network half.
ACT_00310,DEAL_0050,Follow-up,2025-12-26,90,No Response,Keep father his thus.
